respondent_id,timestamp,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30
1,2024-12-18 14:36:52,academia,35years,"RDF1,RDF2",shacl,monthly,"biomed,finance,government",4,shacl,10to100,1m100m,maplib,notapplicable,"compatibility,integration,advanced","uncleardocs,performance",yesupdating,Frequently,Occasionally,notexpr,3,no_answer,rdf12,"ontologies,manually,other",other,100to1000,100to1000,100to1000,1m100m,all,"documentation,performance,interop,community","userfriendly,quality,debugging"
2,2024-12-18 14:47:12,academia,13years,RDF1,shacl,daily,government,4,shacl,100to1000,1to100k,"topbraid,pyshacl",notapplicable,"compatibility,integration,ease,flexibility","specific,performance",no,Always,Rarely,notexpr,4,no_answer,recursion,"ontologies,manually,other",astrea,100to1000,100to1000,morethan1000,1to100k,all,"performance,additional,community","visual,quality,debugging"
3,2024-12-18 14:51:21,academia,13years,RDF1,shacl,rarely,other,4,shacl,10to100,100k1m,pyshacl,notapplicable,"advanced,capabilities",uncleardocs,no,Frequently,Frequently,notexpr,3,"functions,nodeexpressions,expressionconstraints",none,"instancedata,manually",editor,10to100,10to100,50to100,100k1m,part,"documentation,community",userfriendly
4,2024-12-18 15:45:41,industry,5plusyears,"RDF1,LPG","shacl,shex",daily,"biomed,sensor",5,shacl,10to100,1m100m,"topbraid,pyshacl,apache",pyshex,"compatibility,integration,advanced,flexibility,capabilities,community",performance,other,Always,Occasionally,easier,3,"nodeexpressions,rules","rdf12,recursion,other",instancedata,topbraid,10to100,10to100,10to50,1m100m,part,"documentation,performance,additional",other
5,2024-12-18 15:49:16,both,5plusyears,"RDF1,RDF2,LPG","shacl,shex,other",weekly,nondom,5,shacl,10to100,100k1m,rdf4j,notapplicable,"compatibility,integration,capabilities","uncleardocs,specific,performance",yesupdating,Frequently,Rarely,notexpr,2,no_answer,other,manually,editor,1to10,no_answer,10to50,no_answer,part,"documentation,performance,additional","userfriendly,quality"
6,2024-12-18 15:56:00,academia,13years,RDF1,shacl,weekly,"government,sensor,geographic,cultural",5,shacl,1to10,1m100m,shaclengine,shexjs,"compatibility,integration,ease,flexibility,capabilities,community,docquality","specific,performance",yescreating,Frequently,Rarely,no_answer,3,no_answer,other,manually,editor,10to100,1to10,10to50,1m100m,part,other,debugging
7,2024-12-18 15:59:52,academia,35years,RDF1,shacl,weekly,"finance,other",4,shacl,100to1000,1m100m,pyshacl,notapplicable,"compatibility,flexibility,capabilities,docquality",performance,no,Always,Rarely,notexpr,4,no_answer,propertygraphs,manually,protege,10to100,10to100,100to1000,100k1m,part,"performance,community","userfriendly,visual,quality,debugging"
8,2024-12-18 16:00:21,both,35years,"RDF1,LPG",shacl,monthly,software,5,undecided,10to100,1to100k,pyshacl,notapplicable,"compatibility,flexibility,capabilities,performance",uncleardocs,no,Always,Never,no_answer,3,no_answer,"rdf12,propertygraphs",manually,editor,10to100,1to10,50to100,1to100k,part,documentation,"userfriendly,quality"
9,2024-12-18 16:19:50,academia,35years,RDF1,"shacl,shex,other",monthly,"government,sensor,cultural,educational",5,shacl,10to100,1to100k,"pyshacl,apache,rdf4j,shacljs",other,"compatibility,integration,capabilities,docquality",other,other,Always,Rarely,notexpr,2,no_answer,other,"instancedata,other",other,10to100,10to100,no_answer,1to100k,part,"documentation,additional,community","userfriendly,debugging"
10,2024-12-18 16:48:19,government,lessthan1,RDF1,"shacl,other",rarely,other,3,shacl,1to10,1to100k,notapplicable,notapplicable,"compatibility,integration,advanced,flexibility,capabilities,community",usability,no,Never,Never,no_answer,1,no_answer,propertygraphs,no_answer,no_answer,no_answer,no_answer,no_answer,no_answer,no_answer,"documentation,community",no_answer
11,2024-12-18 16:50:46,academia,13years,RDF1,shacl,daily,cultural,4,undecided,10to100,1to100k,pyshacl,notapplicable,compatibility,"uncleardocs,specific",yescreating,Frequently,Rarely,notexpr,1,no_answer,no_answer,manually,"editor,protege",10to100,10to100,10to50,1to100k,part,other,"visual,other"
12,2024-12-18 16:59:29,industry,5plusyears,"RDF1,RDF2",shacl,daily,"government,other",5,shacl,morethan1000,1m100m,"topbraid,pyshacl,apache",notapplicable,"compatibility,integration,advanced,other,ease,flexibility,capabilities,community,comprehensivedocs,docquality",performance,yesupdating,Frequently,Rarely,notexpr,2,"functions,nodeexpressions,rules","rdf12,recursion",manually,editor,100to1000,100to1000,50to100,1m100m,all,"performance,additional,interop,community","quality,debugging,other"
13,2024-12-18 17:03:58,academia,35years,RDF1,shacl,daily,"government,legal",5,shacl,10to100,1to100k,"topbraid,shacljs",notapplicable,"compatibility,ease,flexibility,capabilities",performance,no,Rarely,Always,notexpr,3,rules,none,manually,editor,10to100,10to100,50to100,1to100k,part,"documentation,performance,community",debugging
14,2024-12-18 17:18:08,both,5plusyears,RDF1,shex,monthly,"biomed,sensor",4,both,1to10,100k1m,"topbraid,apache","shexjs,shexvalidator,shexs","advanced,flexibility,capabilities",specific,yesupdating,Rarely,Occasionally,easier,1,"nodeexpressions,expressionconstraints",recursion,"ontologies,manually",editor,10to100,10to100,10to50,1to100k,part,"documentation,performance,additional,community","userfriendly,quality,debugging"
15,2024-12-18 17:42:11,academia,35years,"RDF1,LPG",shacl,weekly,"government,sensor,geographic,cultural",4,shacl,10to100,1m100m,"apache,rdf4j,shaclengine,rudof",notapplicable,"compatibility,flexibility,capabilities",performance,yesupdating,Frequently,Occasionally,other,2,rules,propertygraphs,manually,editor,1to10,1to10,10to50,100k1m,all,performance,visual
