timestamp,Q01,Q22,Q23,Q24,Q25,Q26,Q27,Q28
2021-10-26 12:21:13,academia,manually,protege,1to10,10to100,1to10,1to100k,all
2021-10-26 12:37:03,academia,ontologies,astrea,10to100,10to100,10to50,1m100m,all
2021-10-26 15:25:03,academia,manually,unshacled,1to10,1to10,10to50,1m100m,all
2021-10-26 16:59:21,industry,manually,other,100to1000,100to1000,10to50,1m100m,all
2021-11-04 18:43:49,both,"ontologies,manually","editor,other",10to100,10to100,10to50,1to100k,all
2021-11-30 18:46:26,industry,manually,protege,1to10,10to100,10to50,100k1m,part
2021-11-30 22:04:10,academia,manually,editor,1to10,1to10,1to10,1to100k,all
2021-11-30 22:43:43,both,"instancedata,manually","rdfshape,shexer",1to10,1to10,50to100,morethan100m,part
2021-11-30 22:49:20,both,"instancedata,manually","rdfshape,shexer,shapedesigner",10to100,morethan1000,morethan1000,morethan100m,part
2021-12-02 22:00:31,industry,manually,protege,1to10,10to100,10to50,1to100k,all
2021-12-14 09:31:31,industry,"ontologies,instancedata,manually",topbraid,10to100,10to100,10to50,1m100m,part
2021-12-14 09:35:53,industry,ontologies,topbraid,10to100,10to100,10to50,1to100k,all
2021-12-14 13:47:08,industry,manually,editor,1to10,10to100,10to50,1m100m,part
2021-12-14 15:49:40,both,manually,other,no_answer,no_answer,no_answer,no_answer,no_answer
2021-12-14 17:00:30,industry,"instancedata,manually",editor,10to100,10to100,50to100,100k1m,all
2021-12-14 17:04:58,industry,manually,editor,100to1000,1to10,1to10,1to100k,all
2021-12-14 17:36:43,industry,manually,topbraid,10to100,10to100,no_answer,1to100k,all
2021-12-14 20:03:23,industry,"instancedata,manually","rdfshape,shexer,topbraid",10to100,100to1000,10to50,1m100m,part
2021-12-14 20:07:01,both,manually,topbraid,10to100,10to100,50to100,1to100k,all
2021-12-14 20:49:08,industry,manually,editor,10to100,1to10,10to50,1to100k,part
2021-12-14 21:44:08,both,"ontologies,manually",topbraid,100to1000,100to1000,50to100,1m100m,part
2021-12-14 23:03:19,academia,"ontologies,manually,instancedata","topbraid,ontologypatterns,protege,editor",10to100,10to100,10to50,1to100k,all
2021-12-15 00:02:27,academia,"ontologies,manually",protege,1to10,morethan1000,10to50,1m100m,part
2021-12-15 00:29:56,industry,manually,"topbraid,shaclplay",100to1000,100to1000,50to100,morethan100m,part
2021-12-15 22:34:44,academia,"ontologies,manually","rdfshape,astrea",morethan1000,morethan1000,100to1000,morethan100m,all
2021-12-18 14:24:29,industry,manually,editor,10to100,10to100,50to100,1m100m,part
2021-12-18 20:06:51,academia,ontologies,rdfshape,10to100,1to10,1to10,1to100k,all
2022-01-05 00:21:53,industry,"ontologies,manually",topbraid,no_answer,morethan1000,morethan1000,100k1m,part
2022-01-07 08:57:56,industry,ontologies,"topbraid,protege",1to10,10to100,10to50,100k1m,all
2022-01-07 09:00:24,industry,"instancedata,manually","shaclgen,other",morethan1000,morethan1000,morethan1000,100k1m,part
